QuestionID,QuestionBook,QuestionTopics,QuestionText,QuestionType,OptionA,OptionB,OptionC,OptionD,
DSE2022_Q03,A1_Ch.2,數據輸入 (用戶界面),輸入日期時，使用日曆框勝於文字框。其優點是什麼？(1) 避免無效日期 (2) 確保輸入無誤 (3) 提供用戶友善界面,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2023_Q01,A1_Ch.2,數據組織 (存取方式),下列哪些句子關於在儲存設備上直接存取是正確的？ (1) 寫入檔案的數據必須從儲存設備的開頭開始 (2) 一般來說，搜尋檔案的尋找時間比順序存取快 (3) 比順序存取更常用於硬碟,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2025_Q03,A1_Ch.2,數據控制 (準確性),數據控制對資訊系統非常重要，這是因為,單選題,它控制數據的操作,它減少處理時間,它加速數據傳輸,它確保輸入數據的準確性,D
DSE2025_Q06,A1_Ch.2,數據核驗 (Verification),當更改電郵戶口的密碼，以下哪個步驟是數據驗證(核驗)的方法？,單選題,輸入用戶名稱,輸入舊密碼,輸入新密碼兩次,回答「密碼提示」問題,C
DSE2020_Q02,A1_Ch.3,二進制補碼,下列哪個十進制數值相等於 8 位元二進制補碼表示的 1010 0001？,單選題,33,-33,95,-95,
DSE2020_Q03,A1_Ch.3,多媒體檔案格式,芝芝掃描照片時使用 JPG 格式而不是 BMP 格式。原因可能是什麼？(1) 縮減照片檔案的大小 (2) 增加每張照片的像素數量 (3) 增加已顯示的顏色數量,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q04,A1_Ch.3,數據表示 (位元),某公司有 30000 名僱員，每位僱員均有一個職員編號。表示職員編號最少需要多個位元？,單選題,5,14,15,32,
DSE2020_Q06,A1_Ch.3,字符編碼系統,下列哪個（些）字符集可表示簡體中文字符、繁體中文字符和英文字符？(1) ASCII (2) 統一碼 (3) GB 碼,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q08,A1_Ch.3,檔案格式比較,和和傳送了附有一份文件的電郵，該文件是 PDF 格式，而不是 DOC 格式。原因可能是什麼？(1) 可加密此文件 (2) 可保留此文件的頁面設計 (3) 可包含多媒體元素,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2021_Q02,A1_Ch.3,二進制補碼與上溢,下列哪個以 8 位元二進制補碼表示數字的加法運算，會引致上溢錯誤？,單選題,0011 0110 + 0011 1100,0100 0010 + 1000 0001,1001 1100 + 1111 0110,1011 1010 + 1100 0100,D
DSE2021_Q03,A1_Ch.3,字符編碼 (ASCII),字符「x」和「z」的 ASCII 編碼以十六進制表示，分別為 _____ 和 5A。,單選題,3A,3C,58,59,C
DSE2021_Q05,A1_Ch.3,多媒體檔案格式 (音頻),小芬使用 WAV 格式而非 MP3 格式來錄製音樂表演。這樣有什麼好處？ (1) 音效檔的檔案大小較大 (2) 音效質素更佳 (3) 沒有跨平台問題,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2021_Q23,A1_Ch.3,多媒體檔案格式辨識,下列哪項不是多媒體檔案格式？,單選題,ZIP,MP3,MP4,PNG,A
DSE2022_Q04,A1_Ch.3,二進制補碼 (上溢),下列哪項以二進制補碼表示的 4 位元數字的加法運算，會引致上溢錯誤？,單選題,0011 + 1001,1111 + 1111,1100 + 1011,1010 + 0100 + 0001,C
DSE2022_Q05,A1_Ch.3,多媒體計算 (位元),需要多少位元才能表示一幅 8 × 8 的黑白像素圖像？,單選題,64,64^2,8^8,2^64,A
DSE2022_Q07,A1_Ch.3,圖像檔案格式 (BMP),某照片的 BMP 圖像檔案大小較 JPG 大，原因是：(1) BMP 是未經壓縮的 (2) BMP 表示點陣圖像 (3) BMP 不能在瀏覽器顯示,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q11,A1_Ch.3,字符編碼系統 (ASCII),為什麼字符在電腦內需要以一些例如 ASCII 的字符集來表示？(1) 標準化數據表示 (2) 加強加密 (3) 數據以二進制儲存,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2022_Q20,A1_Ch.3,數據儲存 (容量計算),一百個 300GB 的視像檔案，在沒有檔案重組下，需要多少個 2TB 硬碟來儲存？,單選題,15,16,17,32,C
DSE2023_Q02,A1_Ch.3,數據表示 (多媒體),「七劃管」用途廣泛，每一劃是一枝可以獨立開關的 LED 燈。除了所有劃都關掉之外，這七劃管可以產生多少個不同的圖案？,單選題,10,63,127,255,C
DSE2023_Q04,A1_Ch.3,二進制補碼 (溢出),在 8 位元表示法中，哪些會令整數 01100000 與 01100000 相加時產生溢出誤差？ (1) 符號及值 (2) 一補碼 (3) 二進制補碼,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2023_Q10,A1_Ch.3,檔案格式比較,以 PDF 格式而非 DOCX 格式來建立一份報告的好處是什麼？ (1) 可以保留文本格式 (2) 可以插入超連結 (3) 可以使用顏色字體,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2023_Q11,A1_Ch.3,多媒體檔案格式 (圖像),以下哪些圖像檔案格式支援透明背景圖像？ (1) PNG (2) GIF (3) JPG,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2023_Q13,A1_Ch.3,字符編碼系統,以下哪句關於統一碼 (Unicode) 和大五碼 (Big5) 是正確的？,單選題,在電腦上使用取決於操作系統,大五碼只用於表示中文字符,統一碼是用以表示英文及其他語言的字符,在瀏覽網頁時使用某字元集是取決於瀏覽器,B
DSE2025_Q04,A1_Ch.3,二進制補碼 (加法),下列哪項以二進制補碼表示的 8 位元數字的加法會得到 0000 0000？,單選題,1110 1111 + 0001 0000,1110 1111 + 0001 0001,0111 1111 + 0000 0001,0000 0000 + 0000 0001,B
DSE2025_Q07,A1_Ch.3,多媒體 (位元深度),24 位元顯示卡可處理最多 ________ 種不同的顏色。,單選題,2 × 24,8 × 24,24^2,2^24,D
DSE2025_Q09,A1_Ch.3,檔案格式 (PDF vs HTML),志偉在互聯網發表文章，考慮使用 PDF 而不是 HTML，這是因為,單選題,可使用瀏覽器開啟,可將多媒體元素加入,其檔案大小較小,它提供較佳文件保護,D
DSE2025_Q15,A1_Ch.3,數據壓縮 (優點),以下哪項是檔案傳輸時使用壓縮技術的優點？,單選題,增加網絡頻寬,預防感染病毒,縮短傳輸時間,減少黑客攻擊,C
DSE2020_Q10,A1_Ch.4,試算表假設分析,應為下列哪項（些）任務建立試算表「假設」情境？(1) 尋找在數學考試獲取 90 分或以上的學生 (2) 估算由不同製造商生產的產品成本 (3) 建立月平均溫度的圖表,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2021_Q13,A1_Ch.4,試算表 (樞紐分析表),小芬打算建構樞紐分析表以找出每名參加者參與會議的次數。「參加者」應置於下列哪項？,單選題,篩選,欄,列,值,D
DSE2022_Q10,A1_Ch.4,試算表 (目標搜尋),使用「目標搜尋」作「假設」分析以縮減預算來限制班會費為 $1000。應採用哪組數據？,單選題,目標:B4;值:1000;變數:B6,目標:B4;值:30000;變數:B6,目標:B6;值:1000;變數:B4,目標:B6;值:30000;變數:B4,C
DSE2023_Q08,A1_Ch.4,試算表 (函數),在試算表輸入公式時，以下哪個結果是錯誤的？,單選題,"LEN(""HKDSE"") -> 5","UPPER(""technology"") -> Technology","FIND(""for"", ""information"") -> 3","TRIM("" ICT "") -> ICT",B
DSE2025_Q01,A1_Ch.4,試算表 (儲存格參照),以下試算表顯示了產品零售價的計算。C4 中的公式是什麼，以便可以複製到 C5 及其下的儲存格？,單選題,#REF!,#REF!,#REF!,#REF!,A
DSE2020_Q09,A1_Ch.5,數據庫應用,李小姐計劃以儲存在數據庫內的學生資料和考試分數，設計及製作學生的成績單。她應該做什麼？,單選題,利用數據庫軟件建立報告,利用文書處理軟件建立連至數據庫的超連結,利用試算表軟件建立 SQL 指令,利用試算表軟件匯入數據,
DSE2020_Q11,A1_Ch.5,SQL 統計分組,根據數據表 PET，執行 SELECT SUM(WEIGHT) FROM PET GROUP BY PTYPE 的輸出包括哪些數值？(1) 109 (2) 15 (3) 34 (4) 60,多選題,只有 (1),只有 (2),只有 (3) 和 (4),只有 (2)、(3) 和 (4),
DSE2021_Q04,A1_Ch.5,數據庫結構設計,在數據庫軟件內建構數據表時，用戶通常應設定什麼？ (1) 每個欄的數據類型 (2) 最多的記錄數目 (3) 主關鍵碼,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2021_Q11,A1_Ch.5,數據庫應用 (表單),在數據庫軟件內使用表格（表單）來輸入數據的主要優點是什麼？ (1) 減少輸入錯誤 (2) 縮短 SQL 語句的執行時間 (3) 需要較少儲存空間,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q02,A1_Ch.5,數據庫查詢 (SQL),根據數據表 FRUIT，下列哪項最能描述查詢 SELECT FNAME FROM FRUIT WHERE QTY > 0 ORDER BY QTY DESC 的結果？,單選題,水果按名稱依降序列出,水果按庫存量依升序列出,庫存量少的水果按名稱依升序列出,水果按庫存量依降序列出,D
DSE2023_Q05,A1_Ch.5,數據庫查詢 (SQL),應在 SQL 指令中 SELECT 採用以下哪個子句，把 salary 大於 5000 的資料按 salary 的升序排列展示？,單選題,WHERE salary > 5000 ORDER BY salary,HAVING salary > 5000 ORDER BY salary,WHERE salary > 5000 AND ORDER BY salary,HAVING salary > 5000 OR ORDER BY salary,A
DSE2025_Q10,A1_Ch.5,數據庫查詢 (SQL),以下哪句 SQL 語句將輸出最少行數？,單選題,SELECT * WHERE CL='6A' OR CL='6B',SELECT * FROM STUD,SELECT COUNT(*) FROM STUD,SELECT NAME FROM STUD,C
DSE2025_Q11,A1_Ch.5,數據庫應用 (DBMS),王先生利用 DBMS 工具建構表格供同事輸入數據，這是因為,多選題,只有 (1),只有 (2),只有 (3),只有 (2) 和 (3),D
DSE2021_Q14,B_Ch.1,硬件規格 (掃描器),下列哪項可以是掃描文件和照片的掃描器的規格？ (1) 支援 802.11n (2) 24 位色深 (3) 內置 64 MB RAM,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2021_Q20,B_Ch.1,硬體設備比較,以電子書閱讀器而非平板電腦閱讀電子書的好處是什麼？ (1) 耗電量較低 (2) 重量較輕 (3) 計算能力較高,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2022_Q14,B_Ch.1,打印機規格 (dpi),下列哪項是家用打印機的常見規格？(1) 802.11n (2) 並行埠 (3) 1200 dpi,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2022_Q16,B_Ch.1,輸出設備 (熱感打印),為什麼快餐店收銀處安裝熱感式打印機而非噴射打印機？(1) 黑白列印 (2) 體積較小 (3) 文字較快褪色,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2023_Q17,B_Ch.1,投影機規格,下列哪一項不是投影機的規格？,單選題,支援 WiFi 802.11ac,3800 lm (流明),4K UHD (超高清),5400 rpm (每分鐘轉數),D
DSE2020_Q14,B_Ch.2,電腦規格評估,參考電腦 X、Y 和 Z 的規格。哪台（些）電腦的計算能力最佳？,單選題,X,Y,Z,Y 和 Z,
DSE2020_Q15,B_Ch.2,儲存設備特性,參考電腦 X、Y 和 Z 的規格。哪台（些）電腦的啟動時間最短？,單選題,X,Y,Z (配備 SSD),X 和 Z,
DSE2020_Q16,B_Ch.2,SSD 優點分析,下列哪項不是 SSD 勝於硬碟機 (HDD) 的優點？,單選題,消耗較少電力,產生較少熱量,支援隨機存取,提供較高存取速度,
DSE2020_Q18,B_Ch.2,機器週期,在指令 1000 STORE 1111 的「提取—解碼—執行」週期中，「提取」是做什麼的？,單選題,從主記憶體位址 1000 獲取指令,從主記憶體位址 1111 獲取指令,獲取累加器的內容,用 CU 計算下一指令位址,
DSE2020_Q22,B_Ch.2,電腦硬件組件,下列哪句關於電腦內的部件的描述是不正確的？,單選題,ALU 是用來執行算術運算,累加器是儲存運算結果的寄存器,寄存器傳輸率高於主記憶體,數據匯流排傳送控制訊號,
DSE2021_Q12,B_Ch.2,資訊處理週期 (IPO),下圖顯示了「輸入—處理—輸出」週期的基本概念。X 和 Y 是什麼？,單選題,"X: 統一碼, Y: 二進制數字","X: 互聯網, Y: 網絡設備","X: 程式, Y: 儲存器","X: 數據庫, Y: 查詢",C
DSE2021_Q17,B_Ch.2,硬件儲存 (SSD),操作系統會被安裝在 SSD 而非硬碟機內，原因是什麼？,單選題,該操作系統並不是開放源碼軟件,該操作系統的檔案是經常使用的,該操作系統所需的儲存大小是少於 500 GB,數據檔需在硬碟機內儲存,B
DSE2021_Q18,B_Ch.2,中央處理器 (CPU),下列哪項是 CPU 的近期發展？,單選題,預裝操作系統,減少處理部件數量,增加時鐘頻率,增加耗電量,C
DSE2021_Q19,B_Ch.2,電腦規格評估,志明打算購買電腦以便使用多媒體學習軟件。下列哪項是最不重要的因素？,單選題,SSD 的儲存大小,RAM 的儲存大小,ROM 的儲存大小,CPU 的時鐘頻率,C
DSE2021_Q21,B_Ch.2,機器週期 (譯碼),在 CPU 內執行匯編語言指令「載入 1000」時，下列哪項部件會將此指令解碼？,單選題,匯流排,寄存器,ALU,CU,D
DSE2022_Q15,B_Ch.2,硬件規格 (升級),一台獨立電腦進行數據庫工作時運行緩慢。下列哪個硬件部件需要升級？(1) RAM (2) ROM (3) 網絡界面卡,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2023_Q14,B_Ch.2,中央處理器規格,某 CPU 規格為 16 個核心、5 GHz 和 30 MB 快取記憶體。下列哪些句子是正確的？ (1) 這 CPU 的時鐘頻率是 5 GHz (2) 這 CPU 能同時處理最多 16 個程式 (3) 這 CPU 存取快取記憶體中的數據比在 RAM 中的數據快,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2023_Q18,B_Ch.2,硬件規格評估,某電腦執行數據庫查詢表現劣，應優先升級哪些部件？ (1) 網絡介面卡 (2) 顯示卡 (3) CPU,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2025_Q16,B_Ch.2,記憶體特性 (RAM),當掃描電腦病毒時，哪項／些記憶體將用作儲存病毒偵測程式及其數據？,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2025_Q17,B_Ch.2,CPU 架構 (位址),電腦 P 和 Q 的記憶體位址大小分別是 64 位元和 32 位元。以下哪句／些是正確的？,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2020_Q17,B_Ch.3,驅動程式功能,下列哪項關於驅動程式的描述是正確的？,單選題,讓操作系統管理檔案,讓操作系統控制掃描器,監視病毒偵測的狀況,監視 RAM 的使用量,
DSE2021_Q15,B_Ch.3,驅動程式 (Driver),下列哪項需要驅動程式？ (1) 編輯文字處理文件 (2) 連接一個新打印機 (3) 移除一個軟件包,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),B
DSE2021_Q16,B_Ch.3,操作系統 (處理模式),國華在網上連繫朋友一起玩足球遊戲。這涉及下列哪項處理模式？ (1) 網上互動處理 (2) 成批工作處理 (3) 即時處理,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),C
DSE2022_Q18,B_Ch.3,軟件維護 (更新),為什麼需要定期更新軟件？(1) 修復程式錯誤 (2) 新增功能 (3) 改善效能,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2022_Q19,B_Ch.3,處理模式 (實時),自動駕駛系統是實時處理系統，原因是：,單選題,涉及高運算能力,輸入和處理之間不應有時間延遲,收集大量數據,向多用戶提供服務,B
DSE2022_Q21,B_Ch.3,電腦系統架構,P、Q 和 R 分別代表什麼？（用戶 ↔ P ↔ Q ↔ R ↔ 電腦硬件）,單選題,"P:操作系統, Q:硬件, R:應用軟件","P:應用軟件, Q:操作系統, R:硬件","P:應用軟件, Q:硬件, R:操作系統","P:操作系統, Q:應用軟件, R:硬件",B
DSE2023_Q03,B_Ch.3,操作系統 (處理模式),莉莉有一台沒有連接任何網絡的電腦，她可以執行以下哪些系統？ (1) 分布式處理系統 (2) 實時系統 (3) 成批工作處理系統,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),D
DSE2023_Q16,B_Ch.3,操作系統功能,下列哪些是操作系統的功能？ (1) 調配硬件資源 (2) 把工作排程 (3) 永久地儲存用戶的程式,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2023_Q19,B_Ch.3,系統軟件 (驅動程式),志明把一部新的 USB 打印機連接到一台電腦。為什麼他可以立即使用此打印機？,單選題,打印機的 RAM 容量夠大,操作系統已內置此打印機的驅動程式,USB 打印機不需要驅動程式,打印機內置 CPU 去管理打印工作,B
DSE2023_Q40,B_Ch.3,操作系統 (安全性),經常更新操作系統如何保護電腦免受病毒攻擊？,單選題,可以修復保安漏洞,操作系統的開發者可以提供更多支援,可以提高電腦的性能,可以進行病毒檢測,A
DSE2025_Q12,B_Ch.3,操作系統功能,以下哪些是操作系統的功能？(1) 管理輸入輸出裝置 (2) 管理系統保安 (3) 管理電腦的記憶體,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2025_Q13,B_Ch.3,虛擬化應用 (Virtualisation),以下哪些是虛擬化應用的例子？(1) 在現有 OS 下建構不同 OS 的虛擬環境 (2) 實體伺服器劃分為多個虛擬伺服器 (3) 多個硬碟結合成一個虛擬儲存裝置,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2025_Q14,B_Ch.3,分佈式處理 (Distributed),以下哪些是分布式處理系統的特徵？(1) 資訊在處理器間互換 (2) 每個處理器有各自記憶體 (3) 一個處理器完成其進程後才可執行進程,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),A
DSE2020_Q19,C1_Ch.1,網絡服務共享,參考網絡圖，教師電腦通常會為桌上電腦提供什麼服務？(1) 檔案共享 (2) 電郵 (3) 網頁瀏覽,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q20,C1_Ch.1,無線網絡接達點,為了讓所有桌上電腦可連接該無線打印機，應執行以下哪項行動？,單選題,應把 AP 安裝在交換器上,教師電腦連至交換器與教師電腦間,應以路由器代替交換器,無線打印機應連接至 AP,
DSE2020_Q24,C1_Ch.1,網絡傳輸品質,下列哪項（些）可改善視像會議的質素？(1) 較高解像度的攝影機 (2) 較大的儲存容量 (3) 較高的網絡頻寬,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),
DSE2020_Q27,C1_Ch.1,網絡界面卡功能,網絡界面卡的主要功能是什麼？,單選題,找出傳送數據包的路徑,讓電腦透過網絡進行通訊,提升通訊連結的保安水平,支援衛星通訊,
DSE2021_Q22,C1_Ch.1,網絡連接設備 (Router),下列哪項在連接兩個 LAN 時是常用的？,單選題,防火牆,寬頻數據機,路由器,抗病毒軟件,C
DSE2021_Q25,C1_Ch.1,網絡架構 (IoT/AP),莉莉利用流動電話來控制家中連至 Wi-Fi 網絡的電器。這涉及下列哪項？ (1) LAN (2) 互聯網 (3) 無線網絡接達點,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),D
DSE2021_Q26,C1_Ch.1,網絡服務 (雲端儲存),李先生租用網上檔案儲存服務而不設立檔案伺服器。為什麼？ (1) 互聯網頻寬不足 (2) 無需額外技術人員 (3) 增加儲存容量時較有彈性,多選題,只有 (1),只有 (2),只有 (2) 和 (3),(1)、(2) 和 (3),C
DSE2021_Q28,C1_Ch.1,網絡傳輸媒介 (無線),操場已安裝有線網絡，但學校還是安裝了無線網絡接達點。為什麼？ (1) 學生可在課堂上使用平板電腦 (2) 網絡可每天 24 小時使用 (3) 數據傳輸率較高,多選題,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),A
DSE2022_Q17,C1_Ch.1,網絡故障排除,莉莉發現不能透過家中電腦接達互聯網。以下哪項是可能的成因？,單選題,ROM 容量太小,硬碟數據傳輸率低,顯示卡出現故障,網絡界面卡出現故障,D
DSE2022_Q23,C1_Ch.1,電子學習 (效益),下列哪些是電子學習的潛在效益？(1) 追蹤學習進度 (2) 減少硬件資源 (3) 提供彈性日程,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),B
DSE2022_Q25,C1_Ch.1,網絡傳輸媒介 (光纖),在電腦網絡上使用光纖，原因是：(1) 支援有線無線 (2) 傳輸率高 (3) 支援長距離,多選題,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1)、(2) 和 (3),C
