QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,OptionA,OptionB,OptionC,OptionD,answer,Marks,Type
2016-1-21,B-2,儲存設備,志明把伺服器升級，以固態硬碟(SSD)取締硬碟。下列哪項／些 SSD特性對此項升級有好處？ (1)數據傳輸速率較高 (2)耗電量較低 (3)儲存容量較小,只有(2),只有(3),只有(1)和(2),只有(1)和(3),C,2,MC
2016-1-22,B-2,儲存設備,當啟動某個人電腦時 ，它從ROM載人數據，並檢査所有主要部件是否正常運作。 在這過程中， ROM不應被RAM替代，這是因為,RAM的儲存容量較少 。,RAM是易失性的。,RAM的數據傳輸速率較低。,RAM是隨機存取的 。,B,2,MC
2016-1-23,C1-3,物聯網,物聯網(IoT)是指由設備組成的網絡，這些設備可收集及交換數據，而這些網絡通常連接至互聯網。 這些設備應通常設有下列哪項？,IP位址,運算能力高的CPU,DNS,大儲存容量,A,2,MC
2016-1-24,C1-3,串流傳輸,志明在家中觀看使用串流傳輸的網上廣播視像，他覺得該視像播放不流暢。下列哪些是可能的成因？ (1)視像的播放長度 (2)接達互聯網的方法 (3)互聯網連接的頻寬,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC
2016-1-25,C1-1,無線上網,香港特別行政區政府設立GovWiFi, 提供免費無線上網，市民可以選擇使用非加密連接或加密連接。 下列哪句是正確的？,市民只可在特定的地點上網。,市民不能透過非加密連接來接達網上銀行網站。,市民的裝置可透過加密連接來阻隔電腦病毒。,市民可透過GovWiFi優先預訂政府康樂設施。,A,2,MC
2016-1-26,C1-1,網絡硬件,李先生在公司內建構網絡時考慮一些通訊連結，並比較其有效的數據傳輸速率。下列哪項比較是正確的？,Cat6 (雙扭線） ＜ 衞星 ＜ 光纖,衞星 < Cat6(雙扭線）＜ 光纖,Cat6 (雙扭線） ＜ 光纖 ＜ 衞星,衞星 ＜ 光纖 < Cat6(雙扭線）,B,2,MC
2016-1-27,A1-3,多媒體檔案格式,志明打算上載學校網站的背景音樂，但其網站的儲存空間有限。下列哪項是合適的檔案格式？,WAV,AVI,MPEG2,MP3,D,2,MC
2016-1-28,C2-4,HTML,在網頁中加插表格時，下列哪項不是表格設定？,儲存格的數量,儲存格內的公式,儲存格的色彩,表格的闊度,B,2,MC
2016-1-32,D1-2,算法設計,NUM是一整數陣列。 以下算法的輸出是什麼？ K <- 0 當K <= 100執行 NUM[K] <- K x K K <- K +l 輸出(NUM + NUM),7,25,49,100,B,2,MC
2016-1-33,D1-1,問題建構和分析,細閱以下輸人－處理－輸出(IPO)周期所展示的問題。下列哪句是不正確的？ (展示了一個包含輸入N1, N2, N3，處理AVE = (N1 + N2 + N3) / 3，輸出AVE的IPO圖),此IPO周期展示了數據類型及數據結構。,所展示的問題是找出三個數值的平均數。,此IPO周期展示該問題的一個解決方法。,在「處理」內所顯示的流程圖的控制結構是序列的 。,A,2,MC
2016-1-34,C2-6,認證方法,某銀行設有保安室，只有很少員工能夠進入。下列哪項保安措施是最安全的接達控制？,密碼,智能卡,指紋,鎖匙,C,2,MC
2016-1-39,E-3,軟件特許使用權,莉莉從互聯網下載了三類程式 P、Q和R。她能試用P 一 段時間、改寫Q的源碼和只可使用R的部分功能 。哪類程式是共享軟件？,只有P,只有Q,只有P和R,只有Q和R,C,2,MC
2016-1-40,E-2,健康及道德議題,佩儀購買了話音識別字典流動應用程式，來查閱文字的含義。當她在流動裝置安裝此程式時，它顯示了允許接達：麥高風、位置、通訊錄的要求。佩儀應允許下列哪項／些設定？ (1)麥高風 (2)位置 (3)通訊錄,只有(1),只有(2),只有(1)和(3),只有(2)和(3),A,2,MC
2017-1-1,A1-3,字符編碼,三個純文本檔案包含一些字符，如下所示： (1) 2017. (2) JULY. (3) 二零一七. 假設採用了統一碼 (UTF-8)，下列哪個關於檔案大小的比較是正確的？,(1) > (3),(2) > (1),(2) < (3),(3) > (2),D,2,MC
2017-1-2,E-2,用戶界面的人機工程學,有兩個在網頁上輸入日期的方法，如圖所示：方法1是月曆，方法2是文字方塊。使用方法1而非方法2的好處是什麼？ (1)減少輸入錯誤 (2)更方便用戶使用 (3)以奇偶檢驗來找出錯誤,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC
2017-1-3,B-3,應用軟件,下列哪些是在辦公室自動化軟件內採用物件連接與嵌人(OLE)的主要優點？ (1)在單一檔案內可包含來自不同應用程式的數據 (2)可維持同步更新來自不同應用程式的數據 (3)在相同資料夾內可儲存來自不同應用程式的數據,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC
2017-1-4,A1-3,圖像檔案格式,芝芝打算將她的相片上載至雲端儲存。在這情況下，相片採用 JPG 格式而非 BMP 格式有什麼好處？,減少相片的長度和闊度,減少相片的檔案大小,增加相片的像素數目,增加相片的顏色數目,B,2,MC
2017-1-5,B-1,輸出設備,當在相紙上列印一張數碼相片時，相紙的上部分和下部分均未被使用。有什麼可能的原因？ (1)數碼相片和相紙的長闊比不相同 (2)數碼相片的檔案太小太大 (3)數碼相片的色深太低,只有(1),只有(2),只有(1)和(3),只有(2)和(3),A,2,MC
2017-1-6,A1-3,多媒體檔案格式,在某學院內，每張學生註冊表格均有一個獨一的條碼。該學院將會把這些表格數碼化，並以 PDF 格式儲存。這樣處理表格有什麼主要好處？ (1)可以在不同操作系統上提取和使用這些表格 (2)可以更換舊表格 (3)可以在高質素的紙張上列印這些表格,只有(2),只有(3),只有(1)和(2),只有(1)和(3),C,2,MC
2017-1-7,A1-2,數據驗證,當建構網上電子郵件戶口時，需要完成以下步驟：輸入密碼、重新輸入密碼。重新輸入密碼的目的是什麼？,數據收集,數據驗證,數據組織,數據有效性檢驗,B,2,MC
2017-1-8,A1-3,模擬及數碼數據,下列哪些行動涉及轉換模擬數據至數碼數據？ (1)利用軟件將試算表檔案轉換為 PDF 檔 (2)利用軟件將語音轉換為文本 (3)利用數碼相機拍攝相片,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2017-1-9,A1-3,圖像表示,一個黑白顯示板利用 8×8 像素來展示一個圖案。左上方 4 個像素在任何時間均是黑色。此顯示板可展示多少個不同圖案？,60,120,2^60,2^64,C,2,MC
2017-1-10,A2-5,數據庫,在數據庫管理系統內使用表格的主要好處是什麼？,簡化輸入數據,簡化列印報告,節省儲存空間,在單一數據表查詢數據,D,2,MC
2017-1-11,A2-4,數據分析,對於一間連鎖式便利店，在下列哪項／些例子中應該使用試算表上的「假設」情境？ (1)改變不可參數衣的預算每月支出 (2)製作每月銷售分析 (3)比較不同分店的銷售數據,只有(1),只有(2),只有(1)和(3),只有(2)和(3),A,2,MC
2017-1-12,A1-3,溢出誤差,下列運算涉及 8 位二補碼數字。哪一項會產生溢出錯誤？,0001 0101 + 1000 1000,0111 0011 + 1000 1000,1100 0110 + 1000 1000,1111 1100 + 1000 1000,A,2,MC
2017-1-13,A2-4,圖表,細閱下列調查回家方法的數據：(表格顯示步行、校巴、港鐵、的士、私家車的男女人數)。下列哪項試算表圖表最能表示首三種回家方法的數據？,A ( clustered column chart ),B ( pie chart ),C ( area chart ),D ( line chart ),A,2,MC
2017-1-14,A1-3,十六進制,在網頁內定義背景顏色時使用了顏色編碼。顏色編碼的十六進制數值的範圍是什麼？,0 至 99,0 至 FF,1 至 64,1 至 AA,B,2,MC
2017-1-15,B-3,電腦軟件,下列哪項／些是系統軟件？ (1)試算表軟件 (2)操作系統 (3)驅動程式,只有(1),只有(2),只有(1)和(3),只有(2)和(3),D,2,MC
2017-1-16,B-2,機器周期,考慮下列某指令在機器周期內的步驟： (1)執行指令 (2)把數據寫入記憶體 (3)將指令翻譯為操作碼和操作數 (4)從記憶體內提取指令 這些步驟的正確次序是什麼？,(3) -> (1) -> (2) -> (4),(3) -> (2) -> (4) -> (1),(4) -> (3) -> (1) -> (2),(4) -> (3) -> (2) -> (1),C,2,MC
2017-1-17,B-2,電腦硬件,某電腦是用來編輯視像。下列哪些規格對此電腦的表現有顯著影響？ (1)RAM 的大小 (2)USB 埠的數目 (3)CPU 時鐘頻率,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2017-1-18,B-2,記憶體階層,下列哪句關於 CPU 內寄存器的句子是正確的？,它們的存取數據傳輸速率高,它們的功能相同,它們用作輔助儲存器,它們的總儲存容量通常大過 1GB,A,2,MC
2017-1-19,B-3,系統軟件,操作系統的系統監察軟件通常會提供什麼資訊？ (1)現正執行處理的程序 (2)記憶體使用情況 (3)網絡流量,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2017-1-20,C1-3,網上服務,下列哪項／些是由 GovHK 提供的政府電子化服務？ (1)登記參加社區康樂體育活動 (2)申請入讀香港的大學 (3)續借公共圖書館書籍,只有(1),只有(2),只有(1)和(3),只有(2)和(3),C,2,MC
2017-1-21,B-1,輸入設備,莉莉打算為她的平板電腦購置一個鍵盤。下列哪個／些連接通常適用於鍵盤？ (1)光纖 (2)USB 電纜 (3)藍牙,只有(1),只有(2),只有(1)和(3),只有(2)和(3),D,2,MC
2017-1-22,B-3,運作方式,銀行客戶可透過自動櫃員機(ATM)從戶口提取現金。下列哪個／些系統最能描述此項操作？ (1)互動系統 (2)實時系統 (3)成批工件處理系統,只有(2),只有(3),只有(1)和(2),只有(1)和(3),C,2,MC
2017-1-23,C1-1,網絡硬件,下列哪項是學校電腦網絡內的交換器的主要功能？,促使電腦間的數據傳輸,防止未經授權存取,增加網絡頻寬,為用戶提供電郵服務,A,2,MC
2017-1-24,C1-1,無線網絡,下列哪項／些是建構無線網絡來取代有線網絡的優點？ (1)增加網絡速度 (2)加強網絡保安 (3)增加電腦的流動性,只有(1),只有(3),只有(1)和(2),只有(2)和(3),B,2,MC
2017-1-25,B-1,輸出設備,芝芝打算購買彩色鐳射打印機，以作家中之用。她應考慮什麼規格？ (1)光度 (lm) (2)打印速度 (ppm) (3)解像度 (dpi),只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC
2017-1-26,C1-2,網域名稱系統 (DNS),志明打算為他的新公司設立一個網站，使顧客可經下列任何一個連結接達網站：web.goodcompany.hk, www.goodcompany.hk, www.goodcompany.com.hk, goodcompany.com, www.goodcompany.com。他需要註冊多少個域名？,1,2,3,4,B,2,MC
2017-1-27,C2-4,網頁界面設計,某公司的網頁顯示其在中國的八間分公司，如下展示：中國分公司：香港、上海、北京、深圳、重慶、天津、廈門、澳門 (在一個可滾動的列表中)。下列哪些修改可讓用戶毋須使用右邊捲軸便可清楚地看見所有分公司？ (1)縮小字體大小 (2)減少字符間距 (3)使用有多欄的表格,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2017-1-28,C2-4,HTML,某網頁顯示了一些圖像。除了圖像檔的名稱外，在此網頁的 HTML 編碼內將包含了其他什麼資料？ (1)圖像檔的路徑 (2)圖像的背景大小 (3)儲存此 HTML 檔的伺服器的 IP 位址,只有(1),只有(2),只有(1)和(3),只有(2)和(3),C,2,MC
2017-1-29,D1-2,算法設計,下列流程圖的部分是用來表示在電影院票務訂購系統內的一項任務。這項任務是什麼？ (菱形決策方塊，是/否分支),列印戲票,計算票價,顯示「歡迎」訊息,將輸入的購票數目作有效性檢驗,D,2,MC
2017-1-30,D2-6,程式測試和除錯,下列是開發電腦系統的解難程序。這些程序的正確次序是什麼？ (1)測試系統 (2)界定問題 (3)設計算法 (4)編寫程式碼,(2) -> (4) -> (3) -> (1),(2) -> (3) -> (4) -> (1),(3) -> (2) -> (4) -> (1),(4) -> (2) -> (1) -> (3),B,2,MC
2017-1-31,D1-2,算法設計,以下算法的輸出是什麼？ K <- 0 設 N 由 1 至 3 K <- K + N x N 輸出 K,3,9,14,30,C,2,MC
2017-1-32,D1-2,布爾邏輯,細閱下列語句： 如果 NOT ( X > 30 OR ( Y AND Z ) ) 則輸出 '****'。下列哪個 X、Y 和 Z 值的組合會使 '****' 顯示出來？ TRUE 代表「真」，而 FALSE 代表「假」。,X=20, Y=TRUE, Z=TRUE,X=30, Y=FALSE, Z=FALSE,X=40, Y=FALSE, Z=TRUE,X=50, Y=FALSE, Z=TRUE,A,2,MC
2017-1-33,D1-3,陣列的基本算法,設一個陣列，以 A, A, ..., A[N] 儲存 N 個非零的數值。以下算法的目的是什麼？ 輸入 P K <- P 當 K <= N-1 執行 A[K] <- A[K+1] K <- K+1 N <- N-1,移除 A 內第 P 個數值,將 P 的值增加 1,當 K <= N-1 時互換 A[K] 和 A[K+1] 的數值,計算 A 內數值的總和,A,2,MC
2017-1-34,C2-6,網絡保安措施,下列哪項／些是為網上銀行鑒定客戶身分的保安措施？ (1)抗電腦病毒軟件 (2)保安權標 (3)數碼水印,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC
2017-1-35,C2-5,網絡安全風險,下列哪些會有保安風險？ (1)利用咖啡店內的公共電腦登入網上銀行 (2)使用商場提供的 Wi-Fi 網絡查閱電郵 (3)利用公共電腦檢查網頁的電子證書,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2017-1-36,E-3,知識產權,下列哪些行為可能侵犯了知識產權？ (1)將附有病毒的電子郵件寄給朋友 (2)非法進入一個網上銀行戶口 (3)將掃描後的報紙上載至一個個人網站 (4)上載一個電視節目的視像至互聯網,只有(1)和(2),只有(1)和(4),只有(2)和(3),只有(3)和(4),D,2,MC
2017-1-37,A1-1,資訊時代,資訊年代的出現帶來哪些改變？ (1)需要更多辦公室空間 (2)新的資訊及通訊科技相關工作出現，並改變人力市場。 (3)有更多機會獲得資訊和學習新事物,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC
2017-1-38,C2-5,惡意軟件,勒索軟件是惡意軟件，它將受害人的電腦檔案加密，然後要求贖款來還原這些檔案。如何可減低受到勒索軟件的影響？ (1)定期建立電腦檔案備份 (2)不要開啟不知名的或仿冒詐騙的電子郵件 (3)不要透過 p2p 軟件下載盜版軟件,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2017-1-39,E-2,健康與安全,在工作環境中的電腦採用了人體工學設計原理有什麼主要原因？ (1)避免重複性肌肉勞損 (2)節省電腦的設置成本 (3)提供定制及可調節的設置來滿足不同人士的需要,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2017-1-40,E-2,數碼隔閡,世界衞生組織(WHO)指出全世界的 15% 人口均有殘疾。我們可如何為這些人士大幅改善接觸資訊及通訊科技？,送贈殘疾人士筆記型電腦,設置免費電腦中心給殘疾人士上網,為殘疾人士開發合適的工具來接達資訊及通訊科技,為殘疾人士提供免費的資訊及通訊科技培訓,C,2,MC
2018-1-1,A2-4,圖表,志明在試算表內建立了圖表1，他想藉改善圖表1，使它成為圖表2。他須修改哪項圖表設定？,圖例,資料來源,座標軸,圖表類型,C,2,MC
2018-1-2,A2-5,SQL,數據庫表 PROD 包含七筆記錄，如下所示：(表格有PRANK, WEIGHT, PSTAT欄位)。執行下列 SQL 指令會輸出什麼？ SELECT MAX(WEIGHT) FROM PROD WHERE PSTAT <> 'S',1,6,9,11,B,2,MC
2018-1-3,A1-2,數據驗證,下列哪項是改變學校內聯網帳戶密碼時的一個數據驗證例子？,輸入新密碼兩次,輸入新密碼和流動電話號碼,輸入最少包含一個特殊字符的新密碼,輸入與舊密碼相異的新密碼,A,2,MC
2018-1-4,A1-3,多媒體檔案壓縮,下列所有原始檔的大小均為 1MB。在正常情況下，壓縮這些檔案後，哪個壓縮檔的大小應是最大的？,原始檔: testA.html, 壓縮檔: testA.zip,原始檔: testB.doc, 壓縮檔: testB.zip,原始檔: testC.txt, 壓縮檔: testC.zip,原始檔: testD.jpg, 壓縮檔: testD.zip,B,2,MC
2018-1-5,A1-3,字符編碼,下列為韓文文本例子：「안녕하세요」。下列哪個字符編碼法可用來表示韓文文本？ (1) ASCII (2) 統一碼 (3) 大五碼,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC
2018-1-6,B-3,應用軟件,下列哪個組合適合用來表達故事分鏡圖？ (1)投影片放映 (2)多媒體文件 (3)資料庫檔案,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC
2018-1-7,A1-3,數據表示,某公司設計了一個處理員工記錄的流動應用程式。每筆記錄中，以 10 個位元來儲存員工號碼和 12 個字節來儲存中文姓名。這個流動應用程式可支援多少筆員工記錄？,2^10,2^12,2^(10+12),2^(10×12),A,2,MC
2018-1-8,A1-2,數據類型,志偉編寫了一個程式來處理學生資料，其中包活學生姓名、平均分和修讀科目數目。志偉應選用哪些數據類型來儲存相關的學生資料？,學生姓名: 布爾, 平均分: 整數, 修讀科目數目: 整數,學生姓名: 布爾, 平均分: 實數, 修讀科目數目: 實數,學生姓名: 字符, 平均分: 實數, 修讀科目數目: 整數,學生姓名: 字符, 平均分: 實數, 修讀科目數目: 整數,D,2,MC
2018-1-9,A1-3,二進制補碼,下列哪個是-8 以 8 位元二進制補碼表示的十進制數值？,1000 1000,1111 1000,1000 0000,0000 1000,B,2,MC
2018-1-10,C2-4,超連結,莉莉在一個文件檔內插入一個超連結，使用此超連結可能會 有什麼後果？ (1)開啟一個視像檔 (2)跳至此文件的另一頁 (3)跳至另一個文件的某一頁,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),D,2,MC
2018-1-11,A1-3,十六進制,某文字檔包含字符串「IT*」。志明利用一個程式去檢視該字符串以十六進制表示的 ASCII 編碼，如下所示：2A 49 54 2A。儲存該字符串需要多少個位元？,8,16,32,64,C,2,MC
2018-1-12,A1-3,多媒體檔案格式,下列哪些元素可以包括在 PDF 檔案內？ (1)照片 (2)視像 (3)超連結,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2018-1-13,A1-3,條碼編碼,下列兩個條碼 X 和 Y，分別見於汽水罐和廣告海報中，它們主要的分別是什麼？ (X為一維條碼，Y為二維碼),X 的面積必須大於 Y 的。,只有 Y 能被智能手機閱讀。,Y 能夠展示更多數據。,Y 不能表示字符。,C,2,MC
2018-1-14,C1-2,電郵協定,下列哪句關於郵件合併是正確的？,每次郵件合併時只可附加一個檔案。,郵件合併只適用於發送電郵。,主將數據源和浮動數據源合併。,郵件合併通常涉及演示軟件。,C,2,MC
2018-1-15,C1-3,網上服務,如「維基百科」，免費網上百科全書含有大量文章。下列哪句關於這些網上百科全書的句子是正確的？ (1)人們可以快速搜尋帶來主題的相關文章 (2)這些文章沒有版權 (3)這些百科全書會經常更新,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2018-1-16,C1-1,網絡硬件,連接＿＿＿＿＿＿＿應使用路由器。,兩個不同網絡,打印機和局部區域網絡,兩台電腦,電腦和伺服器,A,2,MC
2018-1-17,B-3,操作系統,以下哪些是操作系統的基本功能？ (1)電郵管理 (2)記憶體管理 (3)輸入／輸出管理,只有(1)和(2),只有(2)和(3),只有(1)和(3),(1)、(2)和(3),C,2,MC
2018-1-18,B-2,儲存設備,為什麼在許多流動設備中普遍使用固態硬碟(SSD)而不使用硬碟？,SSD 的體積較小。,SSD 的儲存容量較小。,SSD 的數據存取速度較慢。,流動設備不支援硬碟。,A,2,MC
2018-1-19,B-3,系統軟件,以下哪項可以幫助縮短存取硬碟內文件所需的時間？,冗餘磁碟陣組(RAID),虛擬私人網絡(VPN),驅動程式,磁碟重組軟件,D,2,MC
2018-1-20,B-2,電腦硬件,細看下列桌上電腦的配置：Intel® CoreTM i7 CPU, 16GB DDR4 RAM, 1TB SSD, 802.11ac Wi-Fi。從這些配置可獲得什麼資訊？ (1)顯示屏的可視尺寸 (2)無線網絡的最大數據傳輸速率 (3)啟動電腦時間,只有(1),只有(2),只有(1)和(3),只有(2)和(3),B,2,MC
2018-1-21,E-1,科技創新,下列哪項是硬碟的最新發展趨勢？ (1)耗電量較低 (2)使用壽命較長 (3)可向較多內置軟件,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC
2018-1-22,B-2,機器周期,下列哪句關於 CPU 內提取－譯碼－執行周期是正確的？,在這周期中使用了寄存器。,這周期是一個循環程序。,這周期內指令的總數是取決於 CPU 的時鐘頻率。,這周期主要是用作執行算術和邏輯運算。,C,2,MC
2018-1-23,B-1,輸出設備,在餐廳的銷售點系統中，下列哪項（些）是採用感熱式打印機來印製收據的原因？ (1)可保留收據列印本較長時間 (2)打印時安靜 (3)打印時間短,只有(1),只有(2),只有(1)和(3),只有(2)和(3),D,2,MC
2018-1-24,C2-5,遠程登入,莉莉在家中登入其公司內的電腦，並進行一些文字處理工作。以下哪句關於此遠程登入是正確的？,兩部電腦均須設有相同的文字處理軟件。,兩部電腦均須設有相同的防火牆。,此遠程登入支援數據加密。,由於涉及兩部電腦，因此在執行文字處理時速度較快。,C,2,MC
2018-1-25,C1-2,URL,下圖是 www.abc.edu.hk 的部分文件夾結構：(圖中顯示了目錄樹)。下列哪個 URL 是無效的？,http://www.abc.edu.hk/chi/p1.jpg,http://www.abc.edu.hk/info/p1.jpg,http://www.abc.edu.hk/eng/p1.jpg,http://www.abc.edu.hk/index.html,B,2,MC
2018-1-26,C1-2,網絡協定,下列哪項不是電郵協定？,IMAP,SMTP,POP,FTP,D,2,MC
2018-1-27,C1-2,網域名稱系統 (DNS),芝芝可藉 ABC 學校網站的 IP 位址瀏覽該網站，但不能以它的 URL 瀏覽。原因可能是什麼？,還未上載相關網頁至該網頁伺服器內。,該網域名稱系統(DNS)伺服器暫時停止服務。,所使用的瀏覽器不是最新版本。,所使用的瀏覽器的一些插件還未安裝。,B,2,MC
2018-1-28,C1-3,串流傳輸,觀賞採用串流技術的網站內的視像，與下列哪些項目有關？ (1) DNS (2) FTP (3) IP,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),B,2,MC
2018-1-29,C2-4,網頁界面設計,細看下列網頁：(顯示一個水果列表)。下列哪項（些）可以更便於導航？ (1)表單 (2)框 (3)背景音樂,只有(2),只有(3),只有(1)和(2),只有(1)和(3),C,2,MC
2018-1-30,D1-2,算法設計,下列算法是用作計算 (1^2 + 2^2 + 3^2 + ... + N^2) 的值。 輸入 N S <- 0 (方格內) S <- S + N x N N <- N - 1 輸出 S。方格內應是什麼？,N > 0,N > 1,N < 0,N < 1,A,2,MC
2018-1-31,D2-6,程式測試和除錯,細看以下算法： 輸入 n 如果 n < -6 則 y <- 2 否則 如果 n > 9 則 y <- y - 2 否則 y <- y x 2 下列哪組輸入數據最適合用作測試此算法？,-6, 1, 9,9, 0, 1, 2,-20, -6, 0, 9, 15,-20, -10, 0, 1, 10, 20,C,2,MC
2018-1-32,D1-2,算法設計,細看以下流程圖的一部分：(一個循環，條件為 X >= Y)。假設 X 和 Y 的初始值分別為 14 和 4。輸出是什麼？,0,1,2,3,C,2,MC
2018-1-33,D1-2,布爾邏輯,假設 x = 1、y = 2 和 z = 3。下列哪個布爾算式是「真」？,((X = 1) AND (Y > -2)) AND (Z > 3),((X = 1) AND (Y > 2)) OR (Z > 3),((X = 1) OR (Y > -2)) AND (Z < 3),((X = 1) AND (Y > -2) AND (Z > 3)),B,2,MC
2018-1-34,D1-3,模組化,於設計電腦解決方案時使用模組的特徵是什麼？ (1)模組通常是用來解決簡單的問題。 (2)模組可最是可重用的。 (3)開發成本較高。 (4)模組可以獨立開發。,只有(1)和(3),只有(1)和(4),只有(2)和(3),只有(2)和(4),D,2,MC
2018-1-35,E-2,用戶界面的人機工程學,在軟件設計中從人體工學方面有什麼良好做法？ (1)固定字體大小 (2)給用戶適當的系統信息 (3)一致的用戶界面,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),C,2,MC
2018-1-36,E-3,知識產權,李小姐是一名攝影師。張先生於未經李小姐同意下，從她的網站下載大量版權照片，並在某社交社使用。這很可能引致什麼法律後果？ (1)張先生需要向李小姐作出賠償。 (2)張先生可能要受刑事罪行。 (3)張先生需要刪除他來自的補習社。,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),A,2,MC
2018-1-37,C2-6,網絡保安措施,在互聯網上，為什麼我們需要保密插口層(SSL)？,IP 位址最少包含了四個數值。,可保護電源插口。,數據傳輸速度可更快。,可安全地傳輸數據。,D,2,MC
